reviewer,date_reviewed,star_rating,message,order_id
Marilyn,03/27/2023,5,"Reading delivered on time. A lovely reading but I have no interest in my ex, I just did it out of curiosity. I would recommend this lovely seller.",2821148604
Gabriella,03/25/2023,5,"________Thank you for always being there when I need you Crystal, __you were always 100 percent correct with every reading __I’ve purchased from you.. Did you know you were the first person who read me? ____you were my first person I went to when I thought all luck __was gone.. I appreciate ______you for always being understanding & caring with me. ___________",2754071513
Gabriella,03/25/2023,5,I appreciate everything you’ve done for me with the readings.. ______,2754064905
Gabriella,03/25/2023,5,Thank you!!! __________,2748603115
Gabriella,03/25/2023,5,____Crystal is very responsive and the most accurate reader I know ________,2751698562
Gabriella,03/25/2023,5,"______________________The best reader, I know!!! Thank you! Crystal, you guys definitely purchase a reading from her! __________",2796670309
Gabriella,03/25/2023,5,"________Thank you so much Crystal __for multiple readings __ \nOn that you’ve done for me, a bit behind on the reviews…everything was always right you told me with my situation__________",2762624778
Gabriella,03/25/2023,5,"______________Thank you so much for always giving me guidance I need __Crystal You’re super gifted, ________very sweet and caring as well. You’re always 100% accurate, correct with my situation and my person of interest. Thank you for the super fast readings and quick ____responses back!________",2758245004
Gabriella,03/25/2023,5,"________________Thank you so much for guiding me through my situation with my POI ________Crystal! Now that he’s been out since the end of February, it’s kinda crazy how everything matched up, his feelings, thoughts, ect.,  with this reading, you gave me was perfect and 100 percent resonated. __We texted __through messages and you’re right (hurt, upset, ect.,) no closure I feel but hopefully soon.",2811042133
Sign in with Apple user,03/24/2023,5,Accurate and fast! Thank you so much,2821979526
Barb,03/24/2023,4,Thank you for the reading. I liked it.,2786756040
Na’Zyria,03/23/2023,5,accurate!!,2827327192
Sign in with Apple user,03/23/2023,5,Awesome,2815716517
Kyler,03/19/2023,5,"quality reading, looking foward to meeting this person1",2805973018
Gabriella,03/19/2023,5,"___________________Hi Crystal, this is Gabriella. I want to thank you so so much for everything you have done for me and being there for me through my worst time…. __Words can’t explain but I know you knew because you read __me so many times with the situation I was in. I can’t even remember how many readings I’ve had with you because it was so many readings, I lost count. Thank you for never giving up on me, being patient, not once, you judged my situation, act annoyed towards me.. deep down in my heart, __know, I appreciate you & always will.. because I wouldn’t be here if it weren’t for you and I’m already getting emotional writing this,, I will be back next weekend. I remember the first time, I had told you ti make a tip Jar ____and look how cute the picture is. I will complete the reviews soon because I still have many to complete. TTYS __",2815364138
Omar,03/18/2023,5,detailed and honest reading \n will hopefully get another\nthanks many blessings,2821044408
Kimberly,03/14/2023,5,"I highly recommend getting a reading, it was very well written. Thank You will be getting another one.",2809568899
Lori,03/08/2023,5,Just waiting to see what happens.,2803823259
Kata,03/08/2023,5,"Thank you,  it resonated a lot!",2795394483
Nan,03/04/2023,4,Really prompt delivery and nice bit of insight. It was on the short side but well written and the intention was fulfilled. Thank you! I liked it and appreciate the time invested.,2793492320
Anna,03/04/2023,5,Always happy with my reading from Crystal. Thank you!,2799100888
Anna,03/02/2023,5,Thank you for a lovely reading.,2789374821
Gizem,02/26/2023,5,I really liked it. Greetings from Germany,2787810621
Emy,02/20/2023,5,Lovely reading! Still curious about the person in the reading of who is thinking of me but time will tell !,2783693643
Gabriella,02/17/2023,5,"Thank you so so much Crystal for guiding me with my POI… it means so much to me. You are very detailed with my reading, 100% accurate about what was going on with my person’s thoughts __ as well, it truly amazes me how gifted & caring you are.______",2744487963
Jose,02/16/2023,3,It was just ok for me,2761792201
samantha,02/10/2023,5,Described his feelings 100% correctly,2768230200
Nedra,02/08/2023,5,Thanks very much for a very good reading.,2760822654
Nedra,02/08/2023,5,"Very good, thanks very much!",2759893953
Nedra,02/08/2023,5,"Very good detailed reading, many thanks!",2759893953
Lesley-Anne,02/05/2023,5,Thank you!,2757862745
Emily,02/05/2023,5,Spot on reading! Would definitely return. Highly recommend this reader. Very helpful.,2760800786
Nicole,02/04/2023,5,Well recommended thank you for the reading,2766977752
Diandra,02/03/2023,5,"Resonates, delivery time was quick thank you ____",2763933615
Julie,02/02/2023,5,"Lovely reading, quick delivery, many thanks x",2764112716
